time, alt, velo
21:58,20110.32 km,3.89 km/s
22:10,20126.26 km,3.88 km/s
22:21,20142.79 km,3.88 km/s
22:33,20159.74 km,3.88 km/s
22:45,20176.99 km,3.88 km/s
22:57,20194.40 km,3.87 km/s
23:9,20211.83 km,3.87 km/s
23:21,20229.13 km,3.87 km/s
23:33,20246.14 km,3.86 km/s
23:45,20262.72 km,3.86 km/s
23:57,20278.72 km,3.86 km/s
0:9,20293.96 km,3.86 km/s
0:21,20308.29 km,3.86 km/s
0:33,20321.54 km,3.85 km/s
0:45,20333.58 km,3.85 km/s
0:57,20344.23 km,3.85 km/s
1:9,20353.35 km,3.85 km/s
1:21,20360.82 km,3.85 km/s
1:33,20366.50 km,3.85 km/s
1:45,20370.30 km,3.85 km/s
1:57,20372.12 km,3.85 km/s
2:9,20371.91 km,3.85 km/s
2:20,20369.61 km,3.85 km/s
2:32,20365.22 km,3.85 km/s
2:44,20358.75 km,3.85 km/s
2:56,20350.25 km,3.85 km/s
3:8,20339.78 km,3.85 km/s
3:20,20327.45 km,3.85 km/s
3:32,20313.41 km,3.86 km/s
3:44,20297.80 km,3.86 km/s
3:56,20280.82 km,3.86 km/s
4:8,20262.67 km,3.86 km/s
4:20,20243.60 km,3.87 km/s
4:32,20223.85 km,3.87 km/s
4:44,20203.68 km,3.87 km/s
4:56,20183.35 km,3.87 km/s
5:8,20163.15 km,3.88 km/s
5:20,20143.34 km,3.88 km/s
5:32,20124.15 km,3.88 km/s
5:44,20105.87 km,3.89 km/s
5:56,20088.71 km,3.89 km/s
6:8,20072.88 km,3.89 km/s
6:19,20058.56 km,3.89 km/s
6:31,20045.91 km,3.89 km/s
6:43,20035.07 km,3.90 km/s
6:55,20026.13 km,3.90 km/s
7:7,20019.16 km,3.90 km/s
7:19,20014.19 km,3.90 km/s
7:31,20011.23 km,3.90 km/s
7:43,20010.29 km,3.90 km/s
7:55,20011.30 km,3.90 km/s
8:7,20014.21 km,3.90 km/s
8:19,20018.95 km,3.90 km/s
8:31,20025.41 km,3.90 km/s
8:43,20033.48 km,3.90 km/s
8:55,20043.07 km,3.90 km/s
9:7,20054.03 km,3.89 km/s
9:19,20066.24 km,3.89 km/s
9:31,20079.58 km,3.89 km/s
9:43,20093.90 km,3.89 km/s
